Campaign,Campaign Type,Campaign Status,Budget,Budget type,Bid Strategy Type,Networks,Languages,Location,Ad Group,Ad Group Status,Max CPC,Keyword,Criterion Type,Status,Ad type,Final URL,Path 1,Path 2,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Headline 13,Headline 14,Headline 15,Headline 1 position,Description 1,Description 2,Description 3,Description 4,Sitelink text,Sitelink description line 1,Sitelink description line 2,Sitelink final URL,Callout text,Structured snippet header,Structured snippet values,Phone number,Country code,Business name
SG | Поиск | Бишкек,Search,Paused,13.72,Daily,Maximize clicks,Google search,ru;ky;All,"Bishkek, Kyrgyzstan; Chuy Region, Kyrgyzstan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SG | Поиск | Бишкек,,,,,,,,,6 Кыргызча грузчик жана мебель,,,жукчу керек бишкек,Phrase,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SG | Поиск | Бишкек,,,,,,,,,6 Кыргызча грузчик жана мебель,,,жүкчүлөр керек,Phrase,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SG | Поиск | Бишкек,,,,,,,,,6 Кыргызча грузчик жана мебель,,,жүкчү жалдайм,Phrase,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SG | Поиск | Бишкек,,,,,,,,,6 Кыргызча грузчик жана мебель,,,жүкчүлөрдүн баасы,Phrase,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SG | Поиск | Бишкек,,,,,,,,,6 Кыргызча грузчик жана мебель,,,мебель чогултуучу керек,Phrase,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SG | Поиск | Бишкек,,,,,,,,,6 Кыргызча грузчик жана мебель,,,мебель жыйноо,Phrase,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SG | Поиск | Бишкек,,,,,,,,,6 Кыргызча грузчик жана мебель,,,мебель ташуу,Phrase,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SG | Поиск | Бишкек,,,,,,,,,6 Кыргызча грузчик жана мебель,,,мебель ташуучу машина,Phrase,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SG | Поиск | Бишкек,,,,,,,,,6 Кыргызча грузчик жана мебель,,,шкаф чогултуу,Phrase,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SG | Поиск | Бишкек,,,,,,,,,6 Кыргызча грузчик жана мебель,,,кухня чогултуу,Phrase,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SG | Поиск | Бишкек,,,,,,,,,6 Кыргызча грузчик жана мебель,,,диван ташуу,Phrase,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SG | Поиск | Бишкек,,,,,,,,,6 Кыргызча грузчик жана мебель,,,эмерек ташуу,Phrase,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SG | Поиск | Бишкек,,,,,,,,,6 Кыргызча грузчик жана мебель,,,эмерек чогултуу,Phrase,Paused,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SG | Поиск | Бишкек,,,,,,,,,6 Кыргызча грузчик жана мебель,,,,,Paused,Responsive search ad,https://sprintergo.kg/,gruzchik,mebel,Грузчик менен машина керек?,Мебель чогултуу 500 сомдон,Машина жана жүкчүлөр,Бишкекте жүк ташуу,Жүк такси 1500 сомдон,"Портер, спринтер, газель",Баасын алдын ала айтабыз,Каалаган убакта келебиз,WhatsApp аркылуу заказ,"Батир, офис көчүрөбүз",2015-жылдан бери иштейбиз,Кошумча төлөм жок,Иш бүткөндөн кийин төлөйсүз,Портер такси чакырыңыз,Чүй облусуна да чыгабыз,1,"Жүк ташуучу машина жана жүкчүлөр. Батир, офис көчүрөбүз, мебель чогултабыз.","Баасын сайттагы калькулятордон дароо көрөсүз. Заказ WhatsApp аркылуу, 24 саат.","Бишкек боюнча жүк ташуу: портер, спринтер, 3 жана 5 тонналык унаалар.",Келишим жана чек беребиз. Жүгүңүз үчүн толук жооп беребиз.,,,,,,,,,,
SG | Поиск | Бишкек,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+996 755 555 357,KG,Sprinter Go
SG | Поиск | Бишкек,,,,,,,,,,,,работа,Negative Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SG | Поиск | Бишкек,,,,,,,,,,,,вакансия,Negative Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SG | Поиск | Бишкек,,,,,,,,,,,,вакансии,Negative Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SG | Поиск | Бишкек,,,,,,,,,,,,требуется,Negative Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SG | Поиск | Бишкек,,,,,,,,,,,,резюме,Negative Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SG | Поиск | Бишкек,,,,,,,,,,,,зарплата,Negative Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SG | Поиск | Бишкек,,,,,,,,,,,,подработка,Negative Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SG | Поиск | Бишкек,,,,,,,,,,,,ищу работу,Negative Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SG | Поиск | Бишкек,,,,,,,,,,,,курсы,Negative Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SG | Поиск | Бишкек,,,,,,,,,,,,обучение,Negative Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SG | Поиск | Бишкек,,,,,,,,,,,,жумуш,Negative Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SG | Поиск | Бишкек,,,,,,,,,,,,жумуш керек,Negative Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SG | Поиск | Бишкек,,,,,,,,,,,,иш издейм,Negative Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SG | Поиск | Бишкек,,,,,,,,,,,,айлык,Negative Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SG | Поиск | Бишкек,,,,,,,,,,,,акысыз,Negative Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SG | Поиск | Бишкек,,,,,,,,,,,,бекер,Negative Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SG | Поиск | Бишкек,,,,,,,,,,,,купить,Negative Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SG | Поиск | Бишкек,,,,,,,,,,,,продажа,Negative Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SG | Поиск | Бишкек,,,,,,,,,,,,продам,Negative Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SG | Поиск | Бишкек,,,,,,,,,,,,продается,Negative Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SG | Поиск | Бишкек,,,,,,,,,,,,сатылат,Negative Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SG | Поиск | Бишкек,,,,,,,,,,,,сатам,Negative Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SG | Поиск | Бишкек,,,,,,,,,,,,бу,Negative Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SG | Поиск | Бишкек,,,,,,,,,,,,б у,Negative Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SG | Поиск | Бишкек,,,,,,,,,,,,запчасти,Negative Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SG | Поиск | Бишкек,,,,,,,,,,,,ремонт,Negative Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SG | Поиск | Бишкек,,,,,,,,,,,,шины,Negative Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SG | Поиск | Бишкек,,,,,,,,,,,,диски,Negative Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SG | Поиск | Бишкек,,,,,,,,,,,,двигатель,Negative Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SG | Поиск | Бишкек,,,,,,,,,,,,цена спринтера,Negative Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SG | Поиск | Бишкек,,,,,,,,,,,,спринтер купить,Negative Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SG | Поиск | Бишкек,,,,,,,,,,,,газель купить,Negative Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SG | Поиск | Бишкек,,,,,,,,,,,,портер купить,Negative Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SG | Поиск | Бишкек,,,,,,,,,,,,лизинг,Negative Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SG | Поиск | Бишкек,,,,,,,,,,,,кредит,Negative Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SG | Поиск | Бишкек,,,,,,,,,,,,рассрочка,Negative Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SG | Поиск | Бишкек,,,,,,,,,,,,карго,Negative Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SG | Поиск | Бишкек,,,,,,,,,,,,из китая,Negative Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SG | Поиск | Бишкек,,,,,,,,,,,,из россии,Negative Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SG | Поиск | Бишкек,,,,,,,,,,,,международные,Negative Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SG | Поиск | Бишкек,,,,,,,,,,,,авиа,Negative Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SG | Поиск | Бишкек,,,,,,,,,,,,жд,Negative Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SG | Поиск | Бишкек,,,,,,,,,,,,контейнер,Negative Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SG | Поиск | Бишкек,,,,,,,,,,,,фура,Negative Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SG | Поиск | Бишкек,,,,,,,,,,,,тягач,Negative Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SG | Поиск | Бишкек,,,,,,,,,,,,эвакуатор,Negative Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SG | Поиск | Бишкек,,,,,,,,,,,,манипулятор,Negative Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SG | Поиск | Бишкек,,,,,,,,,,,,кран,Negative Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SG | Поиск | Бишкек,,,,,,,,,,,,бетон,Negative Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SG | Поиск | Бишкек,,,,,,,,,,,,самосвал,Negative Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SG | Поиск | Бишкек,,,,,,,,,,,,вывоз мусора,Negative Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SG | Поиск | Бишкек,,,,,,,,,,,,мусор,Negative Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SG | Поиск | Бишкек,,,,,,,,,,,,такси пассажирское,Negative Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SG | Поиск | Бишкек,,,,,,,,,,,,пассажирские,Negative Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SG | Поиск | Бишкек,,,,,,,,,,,,аренда без водителя,Negative Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SG | Поиск | Бишкек,,,,,,,,,,,,прокат,Negative Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SG | Поиск | Бишкек,,,,,,,,,,,,ош,Negative Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SG | Поиск | Бишкек,,,,,,,,,,,,жалал абад,Negative Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SG | Поиск | Бишкек,,,,,,,,,,,,джалал абад,Negative Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SG | Поиск | Бишкек,,,,,,,,,,,,каракол,Negative Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SG | Поиск | Бишкек,,,,,,,,,,,,нарын,Negative Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SG | Поиск | Бишкек,,,,,,,,,,,,талас,Negative Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SG | Поиск | Бишкек,,,,,,,,,,,,баткен,Negative Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SG | Поиск | Бишкек,,,,,,,,,,,,иссык куль,Negative Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SG | Поиск | Бишкек,,,,,,,,,,,,алматы,Negative Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SG | Поиск | Бишкек,,,,,,,,,,,,казахстан,Negative Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SG | Поиск | Бишкек,,,,,,,,,,,,москва,Negative Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SG | Поиск | Бишкек,,,,,,,,,,,,россия,Negative Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SG | Поиск | Бишкек,,,,,,,,,,,,узбекистан,Negative Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SG | Поиск | Бишкек,,,,,,,,,,,,турция,Negative Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SG | Поиск | Бишкек,,,,,,,,,,,,своими руками,Negative Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SG | Поиск | Бишкек,,,,,,,,,,,,самостоятельно,Negative Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SG | Поиск | Бишкек,,,,,,,,,,,,бесплатно,Negative Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SG | Поиск | Бишкек,,,,,,,,,,,,скачать,Negative Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SG | Поиск | Бишкек,,,,,,,,,,,,видео,Negative Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SG | Поиск | Бишкек,,,,,,,,,,,,фото,Negative Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SG | Поиск | Бишкек,,,,,,,,,,,,схема,Negative Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SG | Поиск | Бишкек,,,,,,,,,,,,инструкция,Negative Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SG | Поиск | Бишкек,,,,,,,,,,,,форум,Negative Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SG | Поиск | Бишкек,,,,,,,,,,,,что такое,Negative Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SG | Поиск | Бишкек,,,,,,,,,,,,как стать,Negative Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SG | Поиск | Бишкек,,,,,,,,,,,,кандай,Negative Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SG | Поиск | Бишкек,,,,,,,,,,,,деген эмне,Negative Phrase,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
